time,query,rank,image_path,score
20251110_174022,a red car parked on the street,1,data/Images/1260816604_570fc35836.jpg,0.28744882345199585
20251110_174022,a red car parked on the street,2,data/Images/2828583747_8cfb7217af.jpg,0.2705765664577484
20251110_174022,a red car parked on the street,3,data/Images/2092870249_90e3f1855b.jpg,0.25715070962905884
20251110_174022,a red car parked on the street,4,data/Images/267015208_d80b3eb94d.jpg,0.25279271602630615
20251110_174022,a red car parked on the street,5,data/Images/791338571_7f38510bf7.jpg,0.24708324670791626
20251110_174115,a red car,1,data/Images/1260816604_570fc35836.jpg,0.29208070039749146
20251110_174115,a red car,2,data/Images/791338571_7f38510bf7.jpg,0.26550668478012085
20251110_174115,a red car,3,data/Images/3019199755_a984bc21b1.jpg,0.26417335867881775
20251110_174115,a red car,4,data/Images/2828583747_8cfb7217af.jpg,0.26214444637298584
20251110_174115,a red car,5,data/Images/2410153942_ba4a136358.jpg,0.2559097409248352
